neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
3781581,(2017 SE2),20.64,0.197949759,0.442629117,Earth,52324.77945,42787118.92,FALSE
3843839,(2019 RC3),22.69,0.077011393,0.172202709,Earth,22799.37176,71895522.16,FALSE
54304747,(2022 SW1),27.67,0.007772397,0.017379608,Earth,32116.47015,6898478.252,FALSE
2670295,670295 (2013 LH16),18.91,0.439091446,0.981838322,Earth,79734.23535,58957446.65,FALSE
2275714,275714 (2000 YH4),18.82,0.457672667,1.023387195,Earth,36557.26569,50860532.62,FALSE
3759358,(2016 RD34),27.7,0.007665756,0.017141151,Earth,6248.686359,2532494.634,FALSE
3771588,(2017 FV),24.6,0.031956189,0.07145621,Earth,99867.61115,65399898.39,FALSE
3802002,(2018 FU1),26.8,0.011602591,0.025944182,Earth,45918.94384,39501960.04,FALSE
54200300,(2021 SN1),21.02,0.166170902,0.371569432,Earth,128877.0513,49034691.32,TRUE
3384406,(2007 RU17),18.25,0.595052079,1.330576898,Earth,153337.802,67269341.45,TRUE
3580962,(2011 TJ),21.16,0.155795524,0.348369383,Earth,89578.1497,37873767.01,FALSE
3645193,(2013 OY3),24.78,0.02941406,0.065771838,Earth,59986.93534,40016093.43,FALSE
3648643,(2013 SL20),24.62,0.031663213,0.070801096,Earth,72335.30919,40524165.2,FALSE
3773648,(2017 FE128),22.22,0.095621373,0.213815891,Earth,75816.36125,55833906.21,FALSE
3773918,(2017 GS6),24.8,0.029144391,0.065168838,Earth,61465.85302,72026631.03,FALSE
3840870,(2019 GO4),25.2,0.024241248,0.054205079,Earth,70851.59607,15783992.83,FALSE
54248341,(2022 DK1),26.05,0.016389095,0.036647131,Earth,26289.26249,21349268.52,FALSE
54307204,(2022 SA8),28.01,0.006645918,0.014860724,Earth,77406.15266,54083496.44,FALSE
54352078,(2023 FW3),23.31,0.057883526,0.129431498,Earth,29606.38825,5942141.27,FALSE
3550073,(2010 UJ7),25.4,0.022108281,0.049435619,Earth,32498.0491,24714402.36,FALSE
3561029,(2011 GE3),25.88,0.017723724,0.039631452,Earth,51110.43532,61216631.66,FALSE
3574344,(2011 OV18),19.7,0.305179233,0.682401509,Earth,50041.6206,51157007.34,TRUE
3762164,(2016 UZ56),23.9,0.04411182,0.098637028,Earth,25394.28608,53849887.68,FALSE
54383306,(2023 RA13),25.26,0.023580607,0.05272784,Earth,10078.7088,12284147.35,FALSE
2506459,506459 (2002 AL14),17.97,0.676947481,1.513700585,Earth,54180.88273,69285947.08,FALSE
3585280,(2011 UR255),19.79,0.292789149,0.654696439,Earth,36033.00682,66198036.76,FALSE
3614399,(2012 UW136),22.9,0.069912523,0.156329154,Earth,56790.77636,55877129.67,FALSE
3699951,(2014 WO371),22.45,0.086011194,0.192326877,Earth,35274.61338,64711418.73,FALSE
3723817,(2015 MO116),24,0.042126461,0.094197631,Earth,55944.16421,69602468.47,FALSE
3826811,(2018 PG22),21.29,0.146742183,0.328125497,Earth,58338.54439,34791081.57,FALSE
